Name,Website,Email,LinkedIn,Instagram,X/Twitter,Discord,Facebook,YouTube,GitHub,TikTok,Slack,University,Sector
h4tum,https://www.sec.in.tum.de/i20/ctf,info@h4tum.de,,,,,,,,,,TUM,"AI, Data & Software"
hackaTUM,https://hack.tum.de/,hackatum.in@tum.de,,,https://twitter.com/hackatum,,https://www.facebook.com/groups/hackatum,https://www.youtube.com/channel/UCSwsPhzX_2Mlc37Oe45tElg,https://github.com/TUM-Dev,,,TUM,"AI, Data & Software"
HORYZN,https://www.horyzn.org,info@horyzn.org,https://www.linkedin.com/in/balazsnagy1994,,,,,,,,,TUM,Aerospace & Space
Hummingbird,https://www.asg.ed.tum.de/ltf/studium/hummingbird,info-hummingbird.ltf@ed.tum.de,https://de.linkedin.com/company/tum-lehrstuhl-f%C3%BCr-turbomaschinen-und-flugantriebe,,,,,,,,,TUM,Sustainability & CleanTech
Hydro2Motion,https://hydro2motion.eu/,info@hydro2motion.de,https://www.linkedin.com/company/hydro2motion,,,,,,,,,HM,Mobility & Transport
iGEM Munich (LMU Side),,igem@bio.lmu.de,https://www.linkedin.com/company/igem-munich,https://www.instagram.com/igem.munich/,,,https://www.facebook.com/Munich.iGEM/,https://www.youtube.com/@igemmunich,,,,LMU,Biotech & Life Sciences
iGEM Straubing,https://igem-straubing.de/,,https://www.linkedin.com/company/igem-tum-campus-straubing/,,,,,,https://github.com/TUM-Dev,,,TUM,Biotech & Life Sciences
Impetus Sailing Team,https://impetussailing.de/,b.wittmann@impetussailing.de,https://www.linkedin.com/company/futurefoundersinitiative,https://www.instagram.com/futurefoundersinitiative,,,,,,,,TUM,Mobility & Transport
Innovis VC,https://www.innovis.vc/,info@innovis.vc,https://www.linkedin.com/company/innovisvc/,,,,,,,,,TUM,Entrepreneurship & Innovation
LEVITUM,https://www.levitum.de/,info@levitum.de,https://www.linkedin.com/company/69713305,https://www.instagram.com/levitum.muc,,,,https://www.youtube.com/channel/UC_kspzvcPNq3ojrhYYJDQEQ,,,,TUM,Mobility & Transport
MedTech OneWorld Students,https://mtows.de/,,,https://www.instagram.com/tum.mtows/,,,,,,,,TUM,Biotech & Life Sciences
Munich NLP,https://munich-nlp.com/,,https://www.linkedin.com/company/munich-nlp/,https://www.instagram.com/munichcenter_ml,https://x.com/MunichCenterML,https://discord.com/invite/BgFaZgZ38N,,https://www.youtube.com/@MCML_Munich,https://github.com/munich-nlp,,,TUM,"AI, Data & Software"
municHMotorsport,http://munichmotorsport.de/,info@munichmotorsport.de,https://de.linkedin.com/in/fabio-schuck-89606b229,https://instagram.com/mucmotorsport?igshid=YmMyMTA2M2Y=,,,https://www.facebook.com/mucmotorsport?locale=de_DE,https://www.youtube.com/@municHMotorsport,,,,HM,Mobility & Transport
muniQuant,https://muniquant-website.vercel.app/,contact@quantfinanceclub.de,,,,,,,,,,TUM,Finance & Business Services
Nucleate Germany,https://nucleate.org/locations/germany,germany@nucleate.org,https://de.linkedin.com/company/nucleategermany,,,,,,,,,TUM,Biotech & Life Sciences
OneAIM,https://www.one-aim.org/,contact@one-aim.org,https://www.linkedin.com/company/oneaimmunich/,https://www.instagram.com/oneaim.munich/,https://twitter.com/DerNicopolidis,,,https://www.youtube.com/m945_muenchen,,,,TUM,"AI, Data & Software"
OpenHardware,https://open-hardware-initiative.com/,,,,https://x.com/open_hardware,,,,,,,TUM,Robotics & Hardware
OpenSource @ TUM,mailto:leads@tum.dev,leads@tum.dev,,,,,,,,,,TUM,"AI, Data & Software"
PERSIS (SPACE LAB),https://me.hm.edu/forschung_entwicklung/forschungsprojekte/spacelab.de.html,,,https://www.instagram.com/hochschulemuenchen,,,,,,,,HM,Aerospace & Space
PERSIS (Space Manufacturing),,,,,,,,,,,,HM,Aerospace & Space
planl_s studio,https://www.instagram.com/planlosstudio,,,https://www.instagram.com/planlosstudio,,,,,,,,TUM,Entrepreneurship & Innovation
PushQuantum,https://www.pushquantum.tech/,hello@pushquantum.tech,https://de.linkedin.com/company/push-quantum,https://www.instagram.com/pushquantum_ev/,,,,,,,,TUM,Quantum & Deep Physics
RoboTUM,https://www.robotum.info/,outreach@robotum.info,https://www.linkedin.com/company/therobotum,,,,,,,,,TUM,Robotics & Hardware
Sailsetters,https://sailsetters.de/,,https://www.linkedin.com/company/sailsetters,,,,https://www.facebook.com/sailsetters,,,,,TUM,Mobility & Transport
Serlo – ein Projekt der Gesellschaft für freie Bildung e. V.,https://de.serlo.org/serlo,de@serlo.org,https://www.linkedin.com/company/serlo,,,,,,https://github.com/serlo,,,LMU,Social Impact & Education
Space Lab,,,,,,,,,,,,HM,Aerospace & Space
START Munich,https://www.startmunich.de/,info@startmunich.de,https://www.linkedin.com/company/startmunich/,https://instagram.com/enhands,,,,,,,,LMU,Entrepreneurship & Innovation
Strascheg Center for Entrepreneurship (SCE),https://www.sce.de/en,andreas.gattner@sce.de,https://de.linkedin.com/company/strascheg-center-for-entrepreneurship-ggmbh,,,,,,,,,HM,Entrepreneurship & Innovation
Synchronized Skies,https://syncskies.com/,,https://www.linkedin.com/company/falconvision,https://www.instagram.com/team.falconvision,,,,,,,,TUM,Aerospace & Space
TEG – The Entrepreneurial Group e.V.,https://www.teg-ev.de/,,https://de.linkedin.com/company/teg-ev,,https://twitter.com/tegev,,https://facebook.com/TheEntrepreneurialGroup,,,,,TUM/LMU,Entrepreneurship & Innovation
TUfast,https://tufast.de/,info@tufast.de,https://de.linkedin.com/company/tufast-racing-team,https://www.instagram.com/tufastracingteam/,,,,,,,,TUM,Mobility & Transport
TUfast Eco,https://tufast-eco.de/,info.eco@tufast.de,https://www.linkedin.com/company/tufast-eco/,https://www.instagram.com/tufastecoteam/,https://x.com/tufast_eco,,,,,,,TUM,Mobility & Transport
TUfast Racing Team,https://tufast-racingteam.de/,info.racing@tufast.de,https://de.linkedin.com/company/tufast-racing-team,https://www.instagram.com/tufastracingteam/,,,,,,,,TUM,Mobility & Transport
TUM Autonomous Motorsport,https://www.tum-venture-labs.de/teams/tum-autonomous-motorsport,alexander.wischnewski@tum.de,,,,,,,,,,TUM,Mobility & Transport
TUM Blockchain Club,https://www.tum-blockchain.com/,relations@tum-blockchain.com,https://www.linkedin.com/company/tum-blockchain-club/,,https://x.com/tbc_munich,,,,https://github.com/TUM-Blockchain-Club,,https://blockchain-tum.slack.com/,TUM,"AI, Data & Software"
TUM Boring,https://tum-boring.com/,team@tum-boring.com,https://www.linkedin.com/company/tum-boring/,https://www.instagram.com/tum_boring/,,,,,,,,TUM,Mobility & Transport
TUM Carbon Removal Initiative,https://www.tumcarbon.com/,management@tumcarbon.com,https://www.linkedin.com/company/tum-carbon-removal-initiative/,,,,,,,,,TUM,Sustainability & CleanTech
TUM Developers,https://github.com/TUM-Dev,leads@tum.dev,,,,,,,https://github.com/TUM-Dev,,,TUM,"AI, Data & Software"
TUM Hyperloop (NEXT Prototypes),https://tumhyperloop.com/,gabriele.semino@tum.de,https://www.linkedin.com/company/tumhyperloop/,https://www.instagram.com/tumhyperloop/,https://x.com/TUM_Hyperloop,,https://www.facebook.com/tumboring,,,,,TUM,Mobility & Transport
TUM iGEM,https://igemmunich.mwn.de/,igem@lists.lrz.de,https://de.linkedin.com/company/igem-munich,,,,,,,,,TUM,Biotech & Life Sciences
TUM Phoenix Robotics,https://www.tum-phoenix.de/home,kontakt@tum-phoenix.de,,,,,,,,,,TUM,Robotics & Hardware
TUM-XR: Student Initiative,http://student.tum-xr.com/,contact@tum-xr.com,https://www.linkedin.com/company/tum-xr,https://www.instagram.com/tum.xr,,https://discord.gg/vRmZtnhXDm,,https://www.youtube.com/@tum-xr,https://github.com/TUM-Dev,,,TUM,"AI, Data & Software"
TUM.ai,https://www.tum-ai.com/,contact@tum-ai.com,https://www.linkedin.com/company/tum-ai/,,,,,,https://github.com/tum-ai,,https://join.slack.com/t/tumaipublic/shared_invite/zt-10kg0t1f9-JLRXDxY_d_vprKWgab0cVw,TUM,"AI, Data & Software"
WARR – Wissenschaftliche Arbeitsgemeinschaft für Raketentechnik und Raumfahrt,https://warr.de/,info@warr.de,https://www.linkedin.com/company/warrtum/,,,,,,,,,TUM,Aerospace & Space
