Name,Spinoff Relevance,Website,Email,LinkedIn,Instagram,X/Twitter,Discord,Facebook,YouTube,GitHub,TikTok,HuggingFace,Luma,Linktree,Slack,University,Sector,Activity Mode
Odonatum,B,https://odonatum.com/,,,,,,,,,,,,,,TUM,Sustainability & CleanTech,BUILD
Public Makers,B,https://www.publicmakers.org/,,,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,EDUCATE
ReparadTUM,B,https://www.instagram.com/reparad_tum,,,https://www.instagram.com/reparad_tum,,,,,,,,,,,TUM,Sustainability & CleanTech,BUILD
Responsible Technology Hub,B,https://www.responsibletechhub.com/,,,,,,,,,,,,,,TUM,"AI, Data & Software",ADVOCATE
Robotikwerkstatt,B,https://ee.hm.edu/fakultaet/labore/labore_der_fk04_1/robotik__werkstatt.de.html,,,https://www.instagram.com/elektrotechnik_hm,,,,,,,,,,,HM,Robotics & Hardware,EDUCATE
School of Circularity,B,https://school-of-circularity.notion.site/,,,,,,,,,,,,,,TUM,Sustainability & CleanTech,EDUCATE
she.codes by TEC,B,https://codes.education/,,https://www.linkedin.com/company/30112437,https://www.instagram.com/she.codes_bytec,,,,,,,,,,,TUM,"AI, Data & Software",EDUCATE
Silicon Valley Canon Reading Club,B,https://silicon-valley-canon.club/,,,,,,,,,,,,,,TUM,Professional & Career Networks,EDUCATE
SOFT – School of Transformation,B,mailto:soft.schooloftransformation@gmail.com,,,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,EDUCATE
SRM Talks,B,https://www.instagram.com/srmtalks.tum,,,https://www.instagram.com/srmtalks.tum,,,,,,,,,,,TUM,Professional & Career Networks,NETWORK
Start Right e.V.,B,https://www.start-right.de/,,,,,,,,,,,,,,LMU,Entrepreneurship & Innovation,EDUCATE
Studentischer Automobilverband München,B,https://www.sav-deutschland.de/,,,,,,,,,,,,,,TUM,Mobility & Transport,NETWORK
SusTUMable Design,B,https://www.instagram.com/sustumable_design,,,https://www.instagram.com/sustumable_design,,,,,,,,,,,TUM,Sustainability & CleanTech,BUILD
Techlabs,B,https://www.techlabs.org/location/munich,munich@techlabs.org,,,,,,,,,,,,,TUM,"AI, Data & Software",EDUCATE
Technolitics,B,mailto:studentclubs@tum.de,,,,,,,,,,,,,,TUM,"AI, Data & Software",EDUCATE
TEDxTUM,B,https://www.tedxtum.com/,,,,,,,,,,,,,,TUM,Professional & Career Networks,NETWORK
TU Investment Club,B,https://www.tuinvest.de/,,,,,,,,,,,,,,TUM,Finance & Business Services,EDUCATE
TUdesign,B,https://tudesign.super.site/,,,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,EDUCATE
TUM Business Game,B,https://www.tum-businessgame.com/,,,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,EDUCATE
TUM Case Club,B,https://www.tumcaseclub.de/,,https://www.linkedin.com/company/academic-energy-cooperative,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,EDUCATE
TUM Green Tech Initiative,B,,,,,,,,,,,,,http://linktr.ee/tum_greentech,,TUM,Sustainability & CleanTech,EDUCATE
TUM Privacy Club,B,https://tumprivacy.club/,,https://www.linkedin.com/company/tum-privacy-club/,,,,,https://www.youtube.com/watch?v=hbkB_jNG-zE,,,,,,,TUM,"AI, Data & Software",EDUCATE
TUM Social AI Club,B,https://www.tum-social.com/,,,,,,,,,,,,,,TUM,"AI, Data & Software",EDUCATE
TUM Speakers Series,B,https://www.speakersseries.de/,,,,,,,,,,,,,,TUM,Professional & Career Networks,NETWORK
TUM.Additive Network,B,,,,,,,,,,,,,,,TUM,Entrepreneurship & Innovation,EDUCATE
TUMuchData – the Munich Database Club,B,https://www.tumuchdata.club/,contact@tumuchdata.club,https://www.linkedin.com/company/tumuchdata/,,,,,https://www.youtube.com/user/enactusMunich/videos?app=desktop&view=0&sort=dd&shelf_id=0,https://github.com/tumuchdata,,,,,,TUM,"AI, Data & Software",EDUCATE
VDE-IEEE Hochschulgruppe München,B,https://www.vde-bayern.de/de/vde-bayern-young-net/studium/hochschulgruppe-muenchen,,,,,,,,,,,,,,TUM,Quantum & Deep Physics,NETWORK
WIB – Women in Business,B,https://www.wib-womeninbusiness.de/,,,,,,,,,,,,,,TUM,Finance & Business Services,NETWORK
Women in CS @ TUM,B,https://womenincstum.github.io/,,,,,,,,,,,,,,TUM,"AI, Data & Software",NETWORK
100 Voices – One Planet,C,https://100vop.org/,,,,,,,,https://github.com/TUM-Dev,,,,,,TUM,Sustainability & CleanTech,ADVOCATE
Accento Orchester München,C,https://accento-muenchen.de/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
AcTUM – Drama im Vier(t)akter,C,https://www.ac-tum.de/,,,https://www.instagram.com/weareactum,,,https://www.facebook.com/Theatergruppe-ACTUM-2288109984582497,https://www.youtube.com/channel/UCVrighuO4udpu8X0yUo_kuQ,,,,,,,TUM,"Culture, Sports & Community",NETWORK
AEGEE-München e.V.,C,https://aegee-muenchen.de/,,,,,,,,,,,,,,TUM/LMU,Governance & Advocacy,NETWORK
AG Junge Lebensmittelchemie,C,https://www.ag-jlc.de/,,,,,,,,,,,,,,TUM,Biotech & Life Sciences,NETWORK
AIAS Munich e.V,C,https://aias.de/,,,,,,,,,,,,,,LMU,Social Impact & Education,ADVOCATE
Albanische Studierendengemeinschaft,C,https://www.instagram.com/albanian_students_tum,,,https://www.instagram.com/albanian_students_tum,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Amnesty International HSG München,C,https://amnesty-muenchen-lmu.de/,,,https://www.instagram.com/ai_hsg_muc,,,,,,,,,,,TUM/LMU,Social Impact & Education,ADVOCATE
Arbeiterkind,C,http://www.arbeiterkind.de/,,https://www.linkedin.com/company/arbeiterkind-de,https://www.instagram.com/arbeiterkind.de,https://x.com/arbeiterkind,,https://www.facebook.com/ArbeiterKind.de,,,,,,,,LMU,Social Impact & Education,ADVOCATE
Asian-European Society Munich,C,https://www.aesmuc.de/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Association of Iranian Students in Munich,C,https://www.ais-munich.org/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Baduk TU Go,C,https://www.instagram.com/baduktugo,,,https://www.instagram.com/baduktugo,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
bdvb Hochschulgruppe München,C,https://www.linkedin.com/showcase/bdvb-hochschulgruppe-muenchen,,https://www.linkedin.com/showcase/bdvb-hochschulgruppe-muenchen,,,,,,,,,,,,TUM,Finance & Business Services,NETWORK
Beta Sigma Club,C,https://www.betasigmaclub.com/,,,,,,,,,,,,,,TUM,Finance & Business Services,NETWORK
BRASA Local Munique,C,https://www.instagram.com/brasamunique,,,https://www.instagram.com/brasamunique,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Campus Cneipe C2,C,https://www.c2.tum.de/,,,https://www.instagram.com/campus_cneipe,,,,,https://github.com/CodingSyndicate/CampusCneipe,,,,,,TUM,"Culture, Sports & Community",NETWORK
Campus Connect München,C,https://www.campus-connect.de/muenchen,,,,,,,,,,,,,,TUM,Professional & Career Networks,NETWORK
Campus for Change,C,https://www.campusforchange.org/,,,,,,,,,,,,,,TUM,Social Impact & Education,ADVOCATE
Campus Runners,C,,,,,,,,,,,,,https://linktr.ee/campusrunners,,TUM,"Culture, Sports & Community",NETWORK
Campus-Chor Garching,C,https://www.ccg.tum.de/,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
CampusZeitung,C,https://cazelmu.wordpress.com/,,,,,,,,,,,,,,LMU,"Culture, Sports & Community",BUILD
Christliche Studenten an der TUM,C,https://csmuenchen.de/en/csattum,,,,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Cico Jazz Orchester,C,https://www.instagram.com/cicojazzorchester,,,https://www.instagram.com/cicojazzorchester,,,,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Commit to Partnership e.V,C,https://www.betterplace.org/en/organisations/17539-commit-to-partnership-e-v,,,,,,,,,,,,,,LMU,Social Impact & Education,ADVOCATE
Debattierclub München,C,https://debattierclub-muenchen.de/,,,https://www.instagram.com/munichdebate,,,https://www.facebook.com/Debattierclub.Muenchen,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Debattierclub „Münchner Debatte“,C,https://www.muenchnerdebatte.de/,,,,,,,,,,,,,,HM,"Culture, Sports & Community",NETWORK
der tu film,C,https://www.tu-film.de/,,,https://www.instagram.com/dertufilm,,,https://de-de.facebook.com/dertufilm,,,,,,,,TUM,"Culture, Sports & Community",NETWORK
Die Funzel,C,https://funzel.blog/,,,,,,,,,,,,,,LMU,"Culture, Sports & Community",NETWORK
